Federate,Localize,Target
"[-0.8900232, -0.1783069, -1.2005883, 0.80330527, 2.0432312, 0.46795663]","[-0.03217163, -2.0645964, 0.05142425, 0.87595904, 0.05031802, 1.2942675]",0
"[-0.7986194, 0.54817736, 1.3118246, -1.5003967, -1.3336724, 1.5779722]","[-0.69107246, -0.7774824, 1.6556146, -0.8766459, 1.7264768, -0.87468857]",0
"[1.3267863, 0.43069646, 2.1447184, -1.6902409, -1.7119169, 0.02025661]","[-0.69107294, -0.7774829, 1.655592, -0.8766466, 1.726502, -0.8746892]",0
"[1.0997567, 0.5878106, 1.9138949, -1.6017219, -2.2840352, 0.45647207]","[-0.032750923, -1.785628, 0.050720584, -0.089606725, 2.0746257, -0.085269414]",0
"[-0.5871966, -0.22248293, -0.6262774, -0.34900612, 2.6208403, 0.2616235]","[-0.69107246, -0.7774824, 1.6556132, -0.8766459, 1.7264786, -0.87468857]",0
"[1.256995, 0.46209246, 1.8972081, -2.399894, -1.3707007, 0.36135557]","[-0.6910726, -0.77748257, 1.655634, -0.87664616, 1.726459, -0.8746888]",0
"[0.5226519, 0.79512525, 2.0714033, -1.3590157, -2.4932053, 0.61332333]","[-0.6910725, -0.77748245, 1.6556237, -0.876646, 1.7264686, -0.8746887]",0
"[-0.13269128, 0.18049763, 2.390634, -2.484264, -0.5461297, 0.8837896]","[-0.6910725, -0.7774825, 1.6556325, -0.8766461, 1.7264601, -0.87468874]",0
"[-0.8602265, -0.19265611, -0.9297809, 0.36912945, 2.3339615, 0.37866864]","[-1.3109304, -0.47224984, -0.4011455, 0.9257873, -0.39397588, 1.8801162]",0
"[-1.1060622, -0.39288428, -0.62397414, 0.057984117, 1.9857218, 0.89585733]","[-0.017060438, -0.058949575, 0.06977965, -0.07084837, 0.06833777, -0.066454336]",1
"[-1.0238516, -0.57856756, -0.48441088, -0.059951156, 1.7948278, 1.0703851]","[-1.3109299, -0.47225007, -0.40114573, 0.92578757, -0.39397612, 1.8801161]",1
"[0.5890088, 0.8573595, 1.7316191, -0.9616368, -2.7947676, 0.66040885]","[-1.3109212, -0.47225538, -0.4011518, 0.9257938, -0.39398208, 1.8801173]",0
"[-0.6332479, -0.127389, -1.4117186, 0.76981664, 2.124456, 0.33312538]","[0.86608684, -2.12136, 0.10506733, -0.036117453, 1.2182702, -0.031618398]",0
"[0.2893903, 0.5763559, 1.5065858, -2.2463663, -1.688333, 1.2664856]","[-0.6910725, -0.7774825, 1.6556292, -0.8766461, 1.7264636, -0.87468874]",0
"[1.2443002, 0.97153926, 1.8172379, -1.9061937, -1.7615196, -0.014267103]","[-0.045103133, 1.1692678, 1.5150875, -1.7015777, 0.034897503, -1.1718929]",0
"[0.4962784, 0.77039033, 2.1663654, -1.4537907, -2.3941967, 0.59460926]","[-0.687862, -0.7740599, 1.4971479, -0.87280774, 1.8667324, -0.8708388]",0
"[1.863146, 0.42969155, 1.01062, -0.20521581, -1.463832, -0.6650121]","[-1.1691624, -1.2871518, 1.1356738, -0.1750194, 1.7605423, 0.04718517]",0
"[0.017453784, 0.3213144, 1.5209154, -2.8385932, -0.35349905, 1.216248]","[-0.6910725, -0.7774825, 1.6556271, -0.8766461, 1.7264653, -0.87468874]",0
"[-1.1111294, -0.31956574, -0.7735332, 0.46139193, 2.0357401, 0.6855501]","[-1.3109307, -0.47224963, -0.40114525, 0.9257873, -0.39397565, 1.880116]",0
"[0.67058825, 0.23535123, 2.1181488, -0.93540543, -2.5530674, 0.718296]","[-0.6910725, -0.77748245, 1.6556187, -0.876646, 1.7264733, -0.8746887]",0
"[-1.3668028, 0.1412817, 0.84714085, -0.62235004, -0.59977525, 1.6731455]","[-0.6894311, -0.7757326, 1.852327, -0.8746836, 1.5255326, -0.87272036]",0
"[1.1849585, 1.1580379, 1.2572701, -2.8144958, -0.6890849, 0.06923958]","[-1.2400192, -1.362689, 0.40922135, 0.15452515, 0.7185287, 1.6515665]",0
"[0.6557954, 0.42985666, 1.9593956, -0.845355, -2.7123208, 0.70779926]","[-0.44865534, -1.363918, 1.191774, -0.58683044, 1.9705865, -0.5839967]",0
"[-0.053040523, -0.62340766, 1.8891026, -0.5006578, -1.7404432, 1.3275425]","[-0.6910725, -0.77748245, 1.6556218, -0.876646, 1.7264705, -0.8746887]",0
"[-1.1060622, -0.39288428, -0.62397414, 0.057984117, 1.9857218, 0.89585733]","[-1.3109297, -0.47225034, -0.40114605, 0.9257882, -0.39397642, 1.880116]",0
"[0.72661924, 0.59475034, 1.843342, -1.4729947, -2.4779975, 0.7937919]","[-0.69107246, -0.7774824, 1.6556166, -0.8766459, 1.7264751, -0.87468857]",0
"[-1.0718126, -0.6161553, -0.67704755, 0.75319743, 1.5766139, 0.9315559]","[-1.3109276, -0.47225142, -0.4011473, 0.92578924, -0.39397764, 1.8801162]",1
"[1.1023945, 0.62852955, 1.9550534, -0.96520877, -2.5220382, 0.20037441]","[-0.6910725, -0.77748245, 1.6556202, -0.876646, 1.7264718, -0.8746887]",0
"[0.8973624, 1.2072868, 1.1311121, -2.656482, 0.42113385, -0.3929446]","[-0.69107264, -0.7774826, 1.6556345, -0.8766462, 1.7264584, -0.87468886]",0
"[1.8713684, 0.5086055, 0.85923404, -0.5823614, -0.74900675, -0.8473787]","[-0.034592964, -0.07764018, -1.8929998, -0.09180892, 2.0788538, -0.08747827]",0
"[0.10108589, 0.39975056, 2.145168, -2.8827972, 0.49899662, 0.3141886]","[-0.6910726, -0.77748257, 1.6556319, -0.87664616, 1.7264607, -0.8746888]",0
"[0.9231945, 0.9571168, 1.8846741, -2.7277906, -0.7291238, 0.047094945]","[-0.6910725, -0.7774825, 1.6556324, -0.8766461, 1.7264603, -0.87468874]",0
"[-1.147853, -0.46491092, -0.82089084, 0.71288747, 1.4724323, 1.0269824]","[-0.67660266, -0.7620568, -0.7313591, 1.0962995, -0.71815115, 1.9264001]",0
"[0.49967092, 0.773572, 2.1850166, -1.5788852, -2.3070352, 0.5970165]","[-0.96498734, -1.0694903, 0.99502116, -1.2041178, 1.2191958, 1.27295]",0
"[0.39479733, 0.6752141, 2.4626977, -1.9471935, -1.8244646, 0.5226003]","[-0.6910725, -0.77748245, 1.6556153, -0.876646, 1.7264767, -0.8746887]",0
"[0.10108589, 0.39975056, 2.145168, -2.8827972, 0.49899662, 0.3141886]","[-0.44404334, -1.3723544, 1.1815901, -0.5813167, 1.9735222, -0.5784663]",0
"[-1.0805396, 0.49729076, 0.32606274, -1.5860193, -0.112771735, 1.7150517]","[-0.6910725, -0.7774825, 1.6556278, -0.8766461, 1.7264645, -0.87468874]",0
"[-1.1626449, -0.40106443, -0.48787433, 0.07613534, 2.0091145, 0.84672654]","[-0.8956102, -0.9955306, -0.99738526, 0.4903179, 0.7218327, 1.8740474]",1
"[-1.0238516, -0.57856756, -0.48441088, -0.059951156, 1.7948278, 1.0703851]","[-1.3109294, -0.47225046, -0.40114617, 0.9257882, -0.39397657, 1.8801163]",0
"[1.1195012, 0.4859968, 2.076383, -2.1710958, -1.649951, 0.37944126]","[-0.6910725, -0.77748245, 1.6556228, -0.876646, 1.7264692, -0.8746887]",0
"[0.8658891, 0.55301756, 1.5375701, -2.6637294, 0.8237267, -0.31259665]","[-0.04511397, 1.1692884, 1.5150772, -1.7015691, 0.03488458, -1.1718886]",1
"[-1.0805396, 0.49729076, 0.32606274, -1.5860193, -0.112771735, 1.7150517]","[-0.6910725, -0.7774825, 1.6556288, -0.8766461, 1.7264638, -0.87468874]",0
"[1.0839026, 0.4026881, 2.1409895, -2.4453547, -1.1796428, 0.3164111]","[-0.4337904, -0.50320596, 1.5603387, -0.5690591, 1.6433069, -1.6225488]",0
